"","objectID","objectName","culture","period","reign","artistDisplayName","artistDisplayBio","medium","dimensions","city","country","region","excavation","classification","objectURL"
"1","197742","Armchair","","","","Nicolas-Quinibert Foliot","1706–1776, warden 1750/52","Carved and gilded beech; wool and silk tapestry","40 1/4 x 31 x 25 1/2 in. (102.2 x 78.7 x 64.8 cm)","","","","","Woodwork-Furniture","https://www.metmuseum.org/art/collection/search/197742"
"2","197743","Armchair","","","","Nicolas-Quinibert Foliot","1706–1776, warden 1750/52","Carved and gilded beech; wool and silk tapestry","40 5/8 x 29 3/4 x 25 1/2 in. (103.2 x 75.6 x 64.8 cm)","","","","","Woodwork-Furniture","https://www.metmuseum.org/art/collection/search/197743"
